Top 20 Most Confused Pairs:

                    747-100 → 747-200                   (16 times)
                    737-300 → 737-500                   (15 times)
                BAE_146-200 → BAE_146-300               (15 times)
                       DC-3 → C-47                      (15 times)
                       C-47 → DC-3                      (12 times)
                   A340-200 → A340-300                  (10 times)
                    ERJ_145 → ERJ_135                   (10 times)
                    747-300 → 747-400                   (9 times)
                       A320 → A319                      (9 times)
                      MD-11 → DC-10                     (9 times)
                    737-400 → 737-300                   (8 times)
                   A330-200 → A330-300                  (8 times)
                    747-400 → 747-300                   (7 times)
                   A330-300 → A330-200                  (7 times)
                   A340-300 → A340-200                  (7 times)
                      MD-90 → MD-80                     (7 times)
                    737-700 → 737-600                   (6 times)
                    737-900 → 737-800                   (6 times)
                    747-300 → 747-200                   (6 times)
                       A319 → A318                      (6 times)
