Top 20 Most Confused Class Pairs:

                       C-47 -> DC-3                      (18 times)
                    747-100 -> 747-200                   (13 times)
                   A340-200 -> A340-300                  (13 times)
                       DC-3 -> C-47                      (13 times)
                      MD-11 -> DC-10                     (12 times)
                BAE_146-300 -> BAE_146-200               (11 times)
                    737-500 -> 737-300                   (10 times)
                BAE_146-200 -> BAE_146-300               (10 times)
                      E-190 -> E-195                     (10 times)
                    737-300 -> 737-400                   (9 times)
                    737-400 -> 737-300                   (9 times)
                      MD-80 -> MD-90                     (9 times)
                    737-300 -> 737-500                   (8 times)
                       A310 -> A300B4                    (8 times)
                    ERJ_145 -> ERJ_135                   (8 times)
                    747-300 -> 747-200                   (7 times)
                    767-300 -> 767-200                   (7 times)
                       A320 -> A319                      (7 times)
                   A330-300 -> A330-200                  (7 times)
                    CRJ-700 -> CRJ-900                   (7 times)
