Top 20 Most Confused Class Pairs:

                BAE_146-200 -> BAE_146-300               (18 times)
                       C-47 -> DC-3                      (16 times)
                   A340-200 -> A340-300                  (13 times)
                       DC-3 -> C-47                      (13 times)
                      MD-11 -> DC-10                     (13 times)
                    767-300 -> 767-200                   (12 times)
                    737-300 -> 737-400                   (10 times)
                    747-100 -> 747-200                   (10 times)
                       A320 -> A319                      (10 times)
                    737-300 -> 737-500                   (8 times)
                    737-700 -> 737-800                   (8 times)
                    747-300 -> 747-400                   (8 times)
                    747-400 -> 747-300                   (8 times)
                       A319 -> A320                      (8 times)
                      E-195 -> E-190                     (8 times)
                      MD-80 -> MD-87                     (8 times)
                      MD-80 -> MD-90                     (8 times)
                    747-200 -> 747-100                   (7 times)
                    757-300 -> 757-200                   (7 times)
                   A330-300 -> A330-200                  (7 times)
